id,action_id,protocol_action,sub_protocol_bean_name
10236,10356,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10237,10356,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10238,10356,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10239,10356,DENY_AUTHORIZATION,hbciDenyAuthorization
10240,10362,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10241,10362,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10242,10362,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10243,10362,DENY_AUTHORIZATION,xs2aDenyAuthorization
10244,10368,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10245,10368,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10246,10368,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10247,10368,DENY_AUTHORIZATION,hbciDenyAuthorization
10248,10374,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10249,10374,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10250,10374,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10251,10374,DENY_AUTHORIZATION,xs2aDenyAuthorization
10252,10380,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10253,10380,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10254,10380,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10255,10380,DENY_AUTHORIZATION,hbciDenyAuthorization
10256,10386,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10257,10386,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10258,10386,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10259,10386,DENY_AUTHORIZATION,xs2aDenyAuthorization
10260,10392,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10261,10392,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10262,10392,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10263,10392,DENY_AUTHORIZATION,hbciDenyAuthorization
10264,10398,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10265,10398,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10266,10398,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10267,10398,DENY_AUTHORIZATION,xs2aDenyAuthorization
10268,10404,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10269,10404,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10270,10404,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10271,10404,DENY_AUTHORIZATION,hbciDenyAuthorization
10272,10410,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10273,10410,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10274,10410,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10275,10410,DENY_AUTHORIZATION,xs2aDenyAuthorization
10276,10416,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10277,10416,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10278,10416,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10279,10416,DENY_AUTHORIZATION,hbciDenyAuthorization
10280,10422,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10281,10422,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10282,10422,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10283,10422,DENY_AUTHORIZATION,xs2aDenyAuthorization
10284,10428,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10285,10428,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10286,10428,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10287,10428,DENY_AUTHORIZATION,hbciDenyAuthorization
10288,10434,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10289,10434,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10290,10434,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10291,10434,DENY_AUTHORIZATION,xs2aDenyAuthorization
10292,10440,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10293,10440,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10294,10440,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10295,10440,DENY_AUTHORIZATION,hbciDenyAuthorization
10296,10446,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10297,10446,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10298,10446,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10299,10446,DENY_AUTHORIZATION,xs2aDenyAuthorization
10300,10452,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10301,10452,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10302,10452,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10303,10452,DENY_AUTHORIZATION,hbciDenyAuthorization
10304,10458,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10305,10458,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10306,10458,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10307,10458,DENY_AUTHORIZATION,xs2aDenyAuthorization
10308,10464,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10309,10464,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10310,10464,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10311,10464,DENY_AUTHORIZATION,hbciDenyAuthorization
10312,10470,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10313,10470,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10314,10470,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10315,10470,DENY_AUTHORIZATION,xs2aDenyAuthorization
10316,10476,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10317,10476,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10318,10476,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10319,10476,DENY_AUTHORIZATION,hbciDenyAuthorization
10320,10482,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10321,10482,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10322,10482,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10323,10482,DENY_AUTHORIZATION,xs2aDenyAuthorization
10324,10488,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10325,10488,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10326,10488,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10327,10488,DENY_AUTHORIZATION,hbciDenyAuthorization
10328,10494,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10329,10494,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10330,10494,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10331,10494,DENY_AUTHORIZATION,xs2aDenyAuthorization
10332,10500,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10333,10500,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10334,10500,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10335,10500,DENY_AUTHORIZATION,hbciDenyAuthorization
10336,10506,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10337,10506,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10338,10506,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10339,10506,DENY_AUTHORIZATION,xs2aDenyAuthorization
10340,10512,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10341,10512,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10342,10512,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10343,10512,DENY_AUTHORIZATION,hbciDenyAuthorization
10344,10518,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10345,10518,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10346,10518,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10347,10518,DENY_AUTHORIZATION,xs2aDenyAuthorization
10348,10524,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10349,10524,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10350,10524,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10351,10524,DENY_AUTHORIZATION,hbciDenyAuthorization
10352,10530,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10353,10530,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10354,10530,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10355,10530,DENY_AUTHORIZATION,xs2aDenyAuthorization
10356,10536,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10357,10536,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10358,10536,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10359,10536,DENY_AUTHORIZATION,hbciDenyAuthorization
10360,10542,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10361,10542,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10362,10542,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10363,10542,DENY_AUTHORIZATION,xs2aDenyAuthorization
10364,10548,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10365,10548,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10366,10548,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10367,10548,DENY_AUTHORIZATION,hbciDenyAuthorization
